n,m,densita,tempo_us
100,495,10,445
200,1990,10,2947
300,4485,10,7668
400,7980,10,15645
500,12475,10,27965
600,17970,10,44921
700,24465,10,81515
800,31960,10,106849
900,40455,10,185080
1000,49950,10,255299
1100,60445,10,371177
1200,71940,10,489989
1300,84435,10,587613
1400,97930,10,550627
1500,112425,10,699529
1600,127920,10,863208
1700,144415,10,1054997
1800,161910,10,1372539
1900,180405,10,1662418
2000,199900,10,1994458
100,990,20,929
200,3980,20,7195
300,8970,20,22928
400,15960,20,54182
500,24950,20,103821
600,35940,20,177248
700,48930,20,284420
800,63920,20,569255
900,80910,20,801469
1000,99900,20,802802
1100,120890,20,1084243
1200,143880,20,1302594
1300,168870,20,1655122
1400,195860,20,2098142
1500,224850,20,2694151
1600,255840,20,3223385
1700,288830,20,3253872
1800,323820,20,3903679
1900,360810,20,4760057
2000,399800,20,5200819
100,1485,30,1461
200,5970,30,10772
300,13455,30,36058
400,23940,30,84567
500,37425,30,161981
600,53910,30,279110
700,73395,30,432248
800,95880,30,640739
900,121365,30,911962
1000,149850,30,1312461
1100,181335,30,1758092
1200,215820,30,2196203
1300,253305,30,3485832
1400,293790,30,3405975
1500,337275,30,4228416
1600,383760,30,5452220
1700,433245,30,6265141
1800,485730,30,8448922
1900,541215,30,8610227
2000,599700,30,9690516
100,1980,40,2332
200,7960,40,18621
300,17940,40,65220
400,31920,40,146689
500,49900,40,251733
600,71880,40,468356
700,97860,40,697345
800,127840,40,1085806
900,161820,40,1575183
1000,199800,40,2702756
1100,241780,40,2672386
1200,287760,40,3464821
1300,337740,40,4678290
1400,391720,40,5503903
1500,449700,40,6739692
1600,511680,40,9010969
1700,577660,40,10760417
1800,647640,40,11948472
1900,721620,40,13538188
2000,799600,40,15705027
100,2475,50,3093
200,9950,50,24631
300,22425,50,84987
400,39900,50,200497
500,62375,50,517634
600,89850,50,961341
700,122325,50,1049185
800,159800,50,1383756
900,202275,50,1965434
1000,249750,50,2684639
1100,302225,50,3615699
1200,359700,50,5030219
1300,422175,50,6023505
1400,489650,50,7616792
1500,562125,50,9373108
1600,639600,50,11474469
1700,722075,50,13518288
1800,809550,50,15972186
1900,902025,50,18735497
2000,999500,50,21956099
100,2970,60,3063
200,11940,60,25562
300,26910,60,87245
400,47880,60,212262
500,74850,60,405088
600,107820,60,656399
700,146790,60,1113191
800,191760,60,1726407
900,242730,60,2792750
1000,299700,60,2854741
1100,362670,60,4077544
1200,431640,60,5579264
1300,506610,60,6619803
1400,587580,60,8350273
1500,674550,60,10069557
1600,767520,60,12208303
1700,866490,60,14714396
1800,971460,60,18813062
1900,1082430,60,23135895
2000,1199400,60,27632722
100,3465,70,3202
200,13930,70,25691
300,31394,70,85819
400,55860,70,210315
500,87325,70,427537
600,125789,70,741312
700,171255,70,1209461
800,223720,70,1790948
900,283185,70,2182910
1000,349650,70,3136111
1100,423115,70,4319371
1200,503579,70,5205194
1300,591045,70,7087284
1400,685510,70,8268002
1500,786975,70,10495134
1600,895440,70,12834539
1700,1010904,70,15519385
1800,1133370,70,18788799
1900,1262835,70,22333819
2000,1399300,70,26539587
100,3960,80,3696
200,15920,80,31574
300,35880,80,111287
400,63840,80,271137
500,99800,80,452173
600,143760,80,889166
700,195720,80,908666
800,255680,80,1429283
900,323640,80,2245398
1000,399600,80,3133600
1100,483560,80,3967091
1200,575520,80,4823460
1300,675480,80,6077151
1400,783440,80,7966127
1500,899400,80,9578939
1600,1023360,80,11844679
1700,1155320,80,13257491
1800,1295280,80,15653576
1900,1443240,80,18936238
2000,1599200,80,21197728
100,4455,90,2343
200,17910,90,18486
300,40365,90,61492
400,71820,90,140951
500,112275,90,279928
600,161730,90,482799
700,220185,90,762043
800,287640,90,1113374
900,364095,90,1564465
1000,449550,90,2312995
1100,544005,90,3077962
1200,647460,90,3416326
1300,759915,90,2994501
1400,881370,90,3751757
1500,1011825,90,4560653
1600,1151280,90,5535577
1700,1299735,90,6632626
1800,1457190,90,7873818
1900,1623645,90,9249989
2000,1799100,90,10772532
