n,m,densita,tempo_us
100,495,10,1280
200,1990,10,8824
300,4485,10,26762
400,7980,10,58702
500,12475,10,111260
600,17970,10,191008
700,24465,10,304397
800,31960,10,455886
900,40455,10,647221
1000,49950,10,884399
100,990,20,1322
200,3980,20,9508
300,8970,20,30903
400,15960,20,77196
500,24950,20,143738
600,35940,20,246983
700,48930,20,386407
800,63920,20,568795
900,80910,20,807732
1000,99900,20,1096748
100,1485,30,1675
200,5970,30,13038
300,13455,30,42857
400,23940,30,97438
500,37425,30,186008
600,53910,30,317664
700,73395,30,502505
800,95880,30,744416
900,121365,30,1055662
1000,149850,30,1446405
100,1980,40,2165
200,7960,40,16640
300,17940,40,54389
400,31920,40,126921
500,49900,40,244766
600,71880,40,418623
700,97860,40,664947
800,127840,40,1003919
900,161820,40,1419853
1000,199800,40,1942419
100,2475,50,2660
200,9950,50,20535
300,22425,50,68624
400,39900,50,160920
500,62375,50,311549
600,89850,50,536382
700,122325,50,846542
800,159800,50,1258811
900,202275,50,1789255
1000,249750,50,2420655
100,2970,60,2875
200,11940,60,22854
300,26910,60,76452
400,47880,60,179828
500,74850,60,348735
600,107820,60,600470
700,146790,60,949436
800,191760,60,1418285
900,242730,60,2017354
1000,299700,60,2761218
100,3465,70,2967
200,13930,70,23757
300,31394,70,79510
400,55860,70,187006
500,87325,70,361573
600,125789,70,623594
700,171255,70,986836
800,223720,70,1471760
900,283185,70,2092645
1000,349650,70,2862729
100,3960,80,2788
200,15920,80,22220
300,35880,80,74292
400,63840,80,175030
500,99800,80,340205
600,143760,80,585082
700,195720,80,924349
800,255680,80,1375987
900,323640,80,1960584
1000,399600,80,2682055
100,4455,90,2278
200,17910,90,18315
300,40365,90,61437
400,71820,90,144077
500,112275,90,278855
600,161730,90,479670
700,220185,90,758700
800,287640,90,1131507
900,364095,90,1604778
1000,449550,90,2197798
