n,m,densita,tempo_us
100,495,10,969
200,1990,10,5156
300,4485,10,14240
400,7980,10,29329
500,12475,10,51237
600,17970,10,81113
700,24465,10,117857
800,31960,10,163555
900,40455,10,218374
1000,49950,10,285396
1100,60445,10,363199
1200,71940,10,452287
1300,84435,10,552179
1400,97930,10,667396
1500,112425,10,791858
1600,127920,10,926490
1700,144415,10,1.08007e+06
1800,161910,10,1.24785e+06
1900,180405,10,1.43251e+06
2000,199900,10,1.63666e+06
100,990,20,1307
200,3980,20,6900
300,8970,20,18928
400,15960,20,39203
500,24950,20,68579
600,35940,20,108142
700,48930,20,158376
800,63920,20,223650
900,80910,20,309082
1000,99900,20,406555
1100,120890,20,525863
1200,143880,20,669547
1300,168870,20,831125
1400,195860,20,1.01532e+06
1500,224850,20,1.23021e+06
1600,255840,20,1.46492e+06
1700,288830,20,1.72236e+06
1800,323820,20,2.01369e+06
1900,360810,20,2.3323e+06
2000,399800,20,2.69686e+06
100,1485,30,1504
200,5970,30,8031
300,13455,30,22352
400,23940,30,46775
500,37425,30,83568
600,53910,30,136054
700,73395,30,205734
800,95880,30,298394
900,121365,30,410104
1000,149850,30,542934
1100,181335,30,697973
1200,215820,30,880081
1300,253305,30,1.08567e+06
1400,293790,30,1.32664e+06
1500,337275,30,1.58902e+06
1600,383760,30,1.88859e+06
1700,433245,30,2.21215e+06
1800,485730,30,2.57332e+06
1900,541215,30,2.97952e+06
2000,599700,30,3.41927e+06
100,1980,40,1658
200,7960,40,9163
300,17940,40,26120
400,31920,40,55942
500,49900,40,101607
600,71880,40,163141
700,97860,40,247504
800,127840,40,350721
900,161820,40,481567
1000,199800,40,630642
1100,241780,40,812910
1200,287760,40,1.01086e+06
1300,337740,40,1.24108e+06
1400,391720,40,1.50664e+06
1500,449700,40,1.80148e+06
1600,511680,40,2.1385e+06
1700,577660,40,2.51388e+06
1800,647640,40,2.92763e+06
1900,721620,40,3.38427e+06
2000,799600,40,3.88385e+06
100,2475,50,1792
200,9950,50,10200
300,22425,50,29883
400,39900,50,64008
500,62375,50,115543
600,89850,50,183731
700,122325,50,276369
800,159800,50,389311
900,202275,50,529024
1000,249750,50,693214
1100,302225,50,893289
1200,359700,50,1.11338e+06
1300,422175,50,1.37418e+06
1400,489650,50,1.67933e+06
1500,562125,50,2.0162e+06
1600,639600,50,2.41355e+06
1700,722075,50,2.84454e+06
1800,809550,50,3.33567e+06
1900,902025,50,3.87516e+06
2000,999500,50,4.5903e+06
100,2970,60,1911
200,11940,60,11372
300,26910,60,33088
400,47880,60,70318
500,74850,60,125923
600,107820,60,200340
700,146790,60,296981
800,191760,60,419440
900,242730,60,573284
1000,299700,60,756242
1100,362670,60,985048
1200,431640,60,1.23986e+06
1300,506610,60,1.54984e+06
1400,587580,60,1.89614e+06
1500,674550,60,2.29404e+06
1600,767520,60,2.75773e+06
1700,866490,60,3.30213e+06
1800,971460,60,4.00853e+06
1900,1082430,60,4.66743e+06
2000,1199400,60,5.47559e+06
100,3465,70,2023
200,13930,70,12234
300,31394,70,35788
400,55860,70,75470
500,87325,70,134651
600,125789,70,215119
700,171255,70,320616
800,223720,70,456420
900,283185,70,630996
1000,349650,70,839355
1100,423115,70,1.09654e+06
1200,503579,70,1.39521e+06
1300,591045,70,1.74376e+06
1400,685510,70,2.17959e+06
1500,786975,70,2.73642e+06
1600,895440,70,3.29113e+06
1700,1010904,70,3.89764e+06
1800,1133370,70,4.57874e+06
1900,1262835,70,5.42791e+06
2000,1399300,70,6.26658e+06
100,3960,80,2171
200,15920,80,13129
300,35880,80,37553
400,63840,80,78990
500,99800,80,142651
600,143760,80,232415
700,195720,80,349343
800,255680,80,501418
900,323640,80,697995
1000,399600,80,933783
1100,483560,80,1.22453e+06
1200,575520,80,1.56478e+06
1300,675480,80,1.98123e+06
1400,783440,80,2.45423e+06
1500,899400,80,3.10418e+06
1600,1023360,80,3.69776e+06
1700,1155320,80,4.43398e+06
1800,1295280,80,5.18552e+06
1900,1443240,80,6.10129e+06
2000,1599200,80,7.24347e+06
100,4455,90,2311
200,17910,90,13958
300,40365,90,39886
400,71820,90,84207
500,112275,90,152986
600,161730,90,249864
700,220185,90,380706
800,287640,90,554189
900,364095,90,771807
1000,449550,90,1.03781e+06
1100,544005,90,1.35774e+06
1200,647460,90,1.76092e+06
1300,759915,90,2.204e+06
1400,881370,90,2.73517e+06
1500,1011825,90,3.34396e+06
1600,1151280,90,4.08945e+06
1700,1299735,90,4.92083e+06
1800,1457190,90,5.78747e+06
1900,1623645,90,6.81602e+06
2000,1799100,90,7.99607e+06
